,Compound ID,Solubility,SD,Ocurrences,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
0,dl-methionine,-0.6593,0.1191519739499999,2,149.215,0.1513999999999998,38.61019999999999,9.0,3.0,2.0,4.0,4.0,54.0,0.0,0.0,0.0,0.0,63.32,58.61777606003371,3.2659073992264416,96.95878455585176
1,dalapon,0.5455,0.0,1,142.969,1.2648,27.74679999999999,7.0,1.0,1.0,4.0,1.0,42.0,0.0,0.0,0.0,0.0,37.3,51.03142356262589,3.7911184170869663,83.42592196522058
2,sulfaproxyline,-4.3,0.0,1,334.39700000000005,2.1747000000000005,87.71240000000003,23.0,5.0,2.0,7.0,5.0,122.0,2.0,0.0,0.0,2.0,98.49,134.8738618857339,2.1280874393118245,781.8348777970372
3,maltol,-1.063,0.0,1,126.11099999999998,0.6538199999999998,31.3798,9.0,3.0,1.0,3.0,0.0,48.0,1.0,0.0,0.0,1.0,50.44,51.5569179101424,3.4257312155228083,261.2506372810443
4,1-heptanol,-1.8425,0.018315396935134,3,116.204,1.9491,35.84479999999999,8.0,1.0,1.0,1.0,5.0,50.0,0.0,0.0,0.0,0.0,20.23,51.723137466405205,2.53006045688352,29.368065554250645
5,isoxaben,-5.3694,0.0752999999999999,2,332.40000000000003,4.0218000000000025,91.93620000000006,24.0,5.0,1.0,6.0,7.0,130.0,2.0,0.0,0.0,2.0,73.59,141.67678464858872,2.271488099530214,682.544365262882
6,pyrazophos,-4.9489,0.0,1,373.37100000000015,2.890720000000001,91.84550000000004,24.0,9.0,0.0,10.0,8.0,132.0,2.0,0.0,0.0,2.0,84.18,144.8724810814642,2.337540929930071,769.1008406492177
7,hexazinone,-0.8834,0.5017,2,252.31799999999996,0.5131999999999994,70.18700000000003,18.0,6.0,0.0,6.0,2.0,100.0,1.0,1.0,1.0,2.0,60.13,105.8718157818583,2.5209699133525185,537.9888841001627
8,furaltadone,-2.6359,0.0,1,324.29300000000006,0.6747000000000001,77.19040000000004,23.0,8.0,0.0,10.0,5.0,124.0,1.0,2.0,2.0,3.0,110.65,130.92526323414398,1.5414337097331927,609.360844736158
9,cycloxydim,-3.58,0.0,1,325.4740000000001,4.113400000000003,91.40380000000006,22.0,5.0,1.0,5.0,6.0,124.0,0.0,1.0,2.0,2.0,58.89,136.91883161138256,2.149014273978078,452.8204033200171
10,"1,3-xylene",-2.8328690378,0.0751812379635976,6,106.168,2.30344,35.916,8.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,50.16128734829017,3.077660437970554,159.89811391899892
11,n-dodecylamine,-3.3759,0.8168099592599711,6,185.355,3.8660000000000014,60.89840000000005,13.0,1.0,1.0,1.0,10.0,80.0,0.0,0.0,0.0,0.0,26.02,84.09350498320498,2.758149818433293,71.19366193720087
12,Nitroethane,-0.22,0.0128960886999999,2,75.067,0.2829999999999999,17.5354,5.0,2.0,0.0,3.0,1.0,30.0,0.0,0.0,0.0,0.0,43.14,29.757168864725955,2.847378923087672,42.91260938324327
13,theobromine,-2.7372,0.3012369623734775,4,180.167,-1.0397,46.5757,13.0,5.0,1.0,6.0,0.0,68.0,2.0,0.0,0.0,2.0,72.68,72.4540434171574,3.178460985506274,574.1705593822571
14,butane,-2.977604072,0.256788365204484,5,58.124,1.8064,20.582,4.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,27.834077371019376,1.9747448713915892,2.0
15,terbutryn,-3.9847,0.0076499999999999,2,241.364,2.2357,69.14740000000003,16.0,6.0,2.0,6.0,4.0,90.0,1.0,0.0,0.0,1.0,62.73,100.86777625569408,2.945000898431184,347.5528924740622
16,1-pentadecanol,-6.3476,0.0312000000000001,2,228.41999999999996,5.069900000000006,72.78080000000006,16.0,1.0,1.0,1.0,13.0,98.0,0.0,0.0,0.0,0.0,20.23,102.6426743815781,2.828262412638549,98.00257888348511
17,1H-imidazole,0.9683905422,0.0100549092,2,68.079,0.4096999999999999,18.587699999999995,5.0,1.0,1.0,2.0,0.0,26.0,1.0,0.0,0.0,1.0,28.68,29.860211521457774,3.1250000000000004,61.369930610534254
18,silver cyanide,-6.1267351667,0.9793036574,2,133.886,0.09387,4.968,3.0,1.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,23.79,34.76523356259193,0.0,9.509775004326936
19,2-ethyloxirane,0.080542298,0.0898962509941771,3,72.107,0.7952,20.030999999999995,5.0,1.0,0.0,1.0,1.0,30.0,0.0,1.0,1.0,1.0,12.53,31.941791446997023,1.9989394851788975,30.62919048309069
20,benzylamine,-1.53,1.25,2,107.156,1.1453,34.33339999999999,8.0,1.0,1.0,1.0,1.0,42.0,1.0,0.0,0.0,1.0,26.02,49.13623593090629,2.8320858350070903,145.73281445033504
